"Block","Bale wts (lb)","Fresh wt  (lb/acre)","Fresh wt (ton/acre)","fresh weight (g)","dry weight (g)","% moisture","Year","Crop_ID","Crop","Harvested area (m2)","Harvested area (acre)","ton/ac at 0% moisture","ton/ac at 15% moisture","Mg/ha at 0% moisture","Mg/ha at 15% moisture"
"3",366,963.157894736842,0.481578947368421,335.9,286.8,14.6174456683537,"2017","A4","alfalfa",1512,0.373623006479097,0.411184406386613,0.472862067344604,0.921752083796869,1.0600148963664
"4",420,1105.26315789474,0.552631578947368,371.51,300,19.2484724502705,"2017","A4","alfalfa",1512,0.373623006479097,0.446258441722189,0.513197207980518,1.00037754880863,1.15043418112993
"1",1609,4234.21052631579,2.11710526315789,427.5,360.6,15.6491228070175,"2018","A4","alfalfa",1512,0.373623006479097,1.78579686057248,2.05366638965836,4.00322082234534,4.60370394569714
"2",1585,4171.05263157895,2.08552631578947,410.1,330.7,19.3611314313582,"2018","A4","alfalfa",1512,0.373623006479097,1.68174482475391,1.934006548467,3.76996737365084,4.33546247969847
"3",1663,4376.31578947368,2.18815789473684,403.9,340.9,15.5979202772964,"2018","A4","alfalfa",1512,0.373623006479097,1.84685077077442,2.12387838639059,4.14008537284502,4.76109817877178
"4",1513,3981.57894736842,1.99078947368421,514.3,409.8,20.3188800311102,"2018","A4","alfalfa",1512,0.373623006479097,1.58628334885434,1.8242258511825,3.55597138312678,4.0893670905958
"1",699,1839.47368421053,0.919736842105263,456.4,403.7,11.546888694128,"2018","A4","alfalfa",1512,0.373623006479097,0.813535852668481,0.935566230568753,1.82370332092693,2.09725881906597
"2",796,2094.73684210526,1.04736842105263,392.8,338.2,13.9002036659878,"2018","A4","alfalfa",1512,0.373623006479097,0.901782077393075,1.03704938900204,2.02152488289206,2.32475361532586
"3",721,1897.36842105263,0.948684210526316,374.7,327.8,12.5166800106752,"2018","A4","alfalfa",1512,0.373623006479097,0.829940443582936,0.954431510120377,1.86047749237987,2.13954911623685
"4",788,2073.68421052632,1.03684210526316,414.6,365,11.96333815726,"2018","A4","alfalfa",1512,0.373623006479097,0.912801178053673,1.04972135476172,2.04622640084292,2.35316036096936
"1",1189,3128.94736842105,1.56447368421053,553.2,463.1,16.2870571221981,"2018","A4","alfalfa",1512,0.373623006479097,1.3096669616014,1.50611700584161,2.93588042782186,3.37626249199514
"2",1190,3131.57894736842,1.56578947368421,297.6,240.5,19.1868279569892,"2018","A4","alfalfa",1512,0.373623006479097,1.26536414119977,1.45516876237974,2.83656679532753,3.26205181462666
"3",1088,2863.15789473684,1.43157894736842,370.4,311.7,15.8477321814255,"2018","A4","alfalfa",1512,0.373623006479097,1.2047061498238,1.38541207229737,2.70058977606002,3.10567824246902
"4",1346,3542.10526315789,1.77105263157895,432.4,343.6,20.536540240518,"2018","A4","alfalfa",1512,0.373623006479097,1.40733969521398,1.61844064949608,3.15483339476119,3.62805840397536
"1",841,2213.15789473684,1.10657894736842,433.6,364.6,15.9132841328413,"2019","A4","alfalfa",1512,0.373623006479097,0.93048589531948,1.0700587796174,2.08587023153768,2.39875076626833
"2",1144,3010.52631578947,1.50526315789474,352.1,294.4,16.3873899460381,"2019","A4","alfalfa",1512,0.373623006479097,1.25858981449648,1.44737828667095,2.82138078715676,3.24458790523027
"3",1450,3815.78947368421,1.90789473684211,435.7,350.5,19.5547394996557,"2019","A4","alfalfa",1512,0.373623006479097,1.53481089112499,1.76503252479374,3.44058557463489,3.95667341083012
"4",1154,3036.84210526316,1.51842105263158,370,318.9,13.8108108108108,"2019","A4","alfalfa",1512,0.373623006479097,1.30871479374111,1.50502201280228,2.93374595312945,3.37380784609886
"1",496,1305.26315789474,0.652631578947368,381,345.2,9.39632545931759,"2019","A4","alfalfa",1512,0.373623006479097,0.59130819173919,0.680004420500069,1.32553557342174,1.524365909435
"2",570,1500,0.75,318.5,290.3,8.85400313971742,"2019","A4","alfalfa",1512,0.373623006479097,0.683594976452119,0.786134222919937,1.53241485871272,1.76227708751962
"3",571,1502.63157894737,0.751315789473684,529.9,479.2,9.56784298924325,"2019","A4","alfalfa",1512,0.373623006479097,0.679431074383449,0.781345735540966,1.52308063944538,1.75154273536218
"4",709,1865.78947368421,0.932894736842105,437.4,394,9.9222679469593,"2019","A4","alfalfa",1512,0.373623006479097,0.840330421389551,0.966379984597983,1.88376870562896,2.1663340114733
"1",623,1639.47368421053,0.819736842105263,568,434.1,23.5739436619718,"2019","A4","alfalfa",1512,0.373623006479097,0.626492540770941,0.720466421886583,1.40440832864622,1.61506957794315
"2",689,1813.15789473684,0.906578947368421,522.3,411.5,21.213861765269,"2019","A4","alfalfa",1512,0.373623006479097,0.714258542680653,0.821397324082751,1.60115337512722,1.8413263813963
"3",648,1705.26315789474,0.852631578947368,624.2,470.4,24.6395386094201,"2019","A4","alfalfa",1512,0.373623006479097,0.642547091856524,0.738929155635002,1.44039781581477,1.65645748818698
"4",689,1813.15789473684,0.906578947368421,610.2,457.4,25.0409701737135,"2019","A4","alfalfa",1512,0.373623006479097,0.679562783556728,0.781497201090238,1.52337589189912,1.75188227568399
"1",1275,3355.26315789474,1.67763157894737,NA,NA,28,"2020","A4","alfalfa",1512,0.373623006479097,1.20789473684211,1.38907894736842,2.70773763157895,3.11389827631579
