"Plot","Crop_ID","Corn_weed_management","Harvested Weight (lbs.)","% Moisture","Harvest strip length (ft)","Harvest strip width (ft)","Harvest strip area (acres)","Harvest strip area (hectares)","Yield (lb/acre @ 0%)","Yield (lb/acre @ 13%)","bu/acre at 13% moisture","Mg/ha at 13% moisture","Year","Crop","ton/ac at 13% moisture","Mg/ha at 0% moisture","ton/ac at 0% moisture","Block"
"13","S2","conventional",263,11.5,265,15,0.0912534435261708,0.0369576446280992,2550.64347169811,2931.77410540013,48.8629017566688,3.28358699804814,"2017","soybean",1.46588705270006,2.90582920181252,1.29724517938059,"1"
"13","S2","low",282,12.5,265,15,0.0912534435261708,0.0369576446280992,2704.00754716981,3108.05465191932,51.800910865322,3.48102121014964,"2017","soybean",1.55402732595966,3.08054974349526,1.37524542120324,"1"
"16","S3","conventional",353,12.3,265,15,0.0912534435261708,0.0369576446280992,3392.54046792453,3899.4718022121,64.991196703535,4.36740841847755,"2017","soybean",1.94973590110605,3.86496320219253,1.72543000097881,"1"
"16","S3","low",380,11.9,265,15,0.0912534435261708,0.0369576446280992,3668.68347169811,4216.87755367599,70.2812925612665,4.72290286011711,"2017","soybean",2.108438776838,4.17956005320098,1.86587502375044,"1"
"17","S4","conventional",393,12.1,265,15,0.0912534435261708,0.0369576446280992,3785.57769056604,4351.23872478855,72.5206454131425,4.87338737176317,"2017","soybean",2.17561936239427,4.31273218740104,1.92532686937546,"1"
"17","S4","low",390,11.9,265,15,0.0912534435261708,0.0369576446280992,3765.2277735849,4327.84801561483,72.1308002602472,4.84718977748861,"2017","soybean",2.16392400780742,4.28954847565364,1.91497699805966,"1"
"22","S4","conventional",378,12.1,265,15,0.0912534435261708,0.0369576446280992,3641.08999245283,4185.16091086532,69.7526818477554,4.68738022016916,"2017","soybean",2.09258045543266,4.14812408864528,1.85184111100235,"2"
"22","S4","low",397,12.4,265,15,0.0912534435261708,0.0369576446280992,3811.05618113207,4380.52434612882,73.008739102147,4.90618726766428,"2017","soybean",2.19026217306441,4.34175864395069,1.93828510890656,"2"
"24","S2","conventional",365,12.8,265,15,0.0912534435261708,0.0369576446280992,3487.86837735849,4009.04411190631,66.8174018651052,4.49012940533507,"2017","soybean",2.00452205595315,3.97356584542926,1.77391332385235,"2"
"24","S2","low",308,12.8,265,15,0.0912534435261708,0.0369576446280992,2943.18756226415,3382.97420949902,56.3829034916504,3.78893111463891,"2017","soybean",1.69148710474951,3.3530363846362,1.49689124314116,"2"
"25","S3","conventional",317,13.7,265,15,0.0912534435261708,0.0369576446280992,2997.92522264151,3445.89106050748,57.4315176751247,3.85939798776838,"2017","soybean",1.72294553025374,3.41539644935255,1.52473055774667,"2"
"25","S3","low",316,14.1,265,15,0.0912534435261708,0.0369576446280992,2974.61651320755,3419.09944046844,56.9849906744741,3.82939137332466,"2017","soybean",1.70954972023422,3.38884192329616,1.51287585861436,"2"
"33","S3","conventional",349,12.4,265,15,0.0912534435261708,0.0369576446280992,3350.27356981132,3850.88916070267,64.1814860117111,4.31299585998699,"2017","soybean",1.92544458035133,3.8168104955637,1.70393325694808,"3"
"33","S3","low",323,12.9,265,15,0.0912534435261708,0.0369576446280992,3082.98502641509,3543.66094990241,59.0610158317068,3.9689002638907,"2017","soybean",1.7718304749512,3.51230111848734,1.56799157075328,"3"
"34","S2","conventional",345,13.4,265,15,0.0912534435261708,0.0369576446280992,3274.06822641509,3763.29681197137,62.7216135328562,4.21489242940794,"2017","soybean",1.88164840598569,3.729993300361,1.66517558051831,"3"
"34","S2","low",370,13.3,265,15,0.0912534435261708,0.0369576446280992,3515.37418867925,4040.65998698764,67.3443331164606,4.52553918542615,"2017","soybean",2.02032999349382,4.00490193400545,1.78790264910957,"3"
"39","S4","conventional",409,12.2,265,15,0.0912534435261708,0.0369576446280992,3935.21587924528,4523.23664281067,75.3872773801778,5.06602503994795,"2017","soybean",2.26161832140533,4.48320799995394,2.00143214283658,"3"
"39","S4","low",430,12.7,265,15,0.0912534435261708,0.0369576446280992,4113.7077735849,4728.39973975276,78.8066623292127,5.2958077085231,"2017","soybean",2.36419986987638,4.68655549426823,2.09221227422689,"3"
"41","S4","conventional",405,12,265,15,0.0912534435261708,0.0369576446280992,3905.60603773585,4489.20234222511,74.8200390370852,5.02790662329213,"2017","soybean",2.24460117111256,4.44947488786914,1.98637271779872,"4"
"41","S4","low",383,11.8,265,15,0.0912534435261708,0.0369576446280992,3701.84386415094,4254.99294729993,70.9165491216656,4.76559210097593,"2017","soybean",2.12749647364997,4.21733814245657,1.88274024216811,"4"
